s1,s2,Re(z_ibc0.tm),Im(z_ibc0.tm),Abs(z_ibc0.tm),Arg(z_ibc0.tm),Re(z_ibc0.te),Im(z_ibc0.te),Abs(z_ibc0.te),Arg(z_ibc0.te)
+9.40000000E-01,+0.00000000E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+9.50000000E-01,+0.00000000E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+9.60000000E-01,+0.00000000E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+9.70000000E-01,+0.00000000E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+9.80000000E-01,+0.00000000E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+9.90000000E-01,+0.00000000E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+1.00000000E+00,+0.00000000E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+0.00000000E+00,+1.59044839E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+1.00000000E-02,+1.59044839E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+2.00000000E-02,+1.59044839E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+3.00000000E-02,+1.59044839E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+4.00000000E-02,+1.59044839E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+5.00000000E-02,+1.59044839E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+6.00000000E-02,+1.59044839E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+7.00000000E-02,+1.59044839E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+8.00000000E-02,+1.59044839E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+9.00000000E-02,+1.59044839E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+1.00000000E-01,+1.59044839E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+1.10000000E-01,+1.59044839E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+1.20000000E-01,+1.59044839E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+1.30000000E-01,+1.59044839E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+1.40000000E-01,+1.59044839E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+1.50000000E-01,+1.59044839E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+1.60000000E-01,+1.59044839E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+1.70000000E-01,+1.59044839E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+1.80000000E-01,+1.59044839E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+1.90000000E-01,+1.59044839E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+2.00000000E-01,+1.59044839E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+2.10000000E-01,+1.59044839E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+2.20000000E-01,+1.59044839E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+2.30000000E-01,+1.59044839E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+2.40000000E-01,+1.59044839E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+2.50000000E-01,+1.59044839E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+2.60000000E-01,+1.59044839E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+2.70000000E-01,+1.59044839E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+2.80000000E-01,+1.59044839E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+2.90000000E-01,+1.59044839E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+3.00000000E-01,+1.59044839E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+3.10000000E-01,+1.59044839E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+3.20000000E-01,+1.59044839E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+3.30000000E-01,+1.59044839E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
